College Name,City,State,Rank,Wikipedia Page,Wikidata ID,Logo Source,Logo URL,Logo Path,Confidence
RGIPT Amethi - Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,182,Rajiv Gandhi Institute of Petroleum Technology,Q7286204,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/9/91/Rajiv_Gandhi_Institute_of_Petroleum_Technology.png,logos\rgipt_amethi_rajiv_gandhi_institute_of_petroleum_technology.png,Very High (Wikipedia)
"GLA University, Mathura",Mathura,Uttar Pradesh,186,GLA University,Q16979726,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/4/42/GLA_University_logo.png,logos\gla_university_mathura.png,Very High (Wikipedia)
SVCET Chittoor - Sri Venkateswara College of Engineering and Technology,Erode,Tamil Nadu,198,Sri Venkateswara College of Engineering,Q7586320,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/7/71/SVCE_logo.png,logos\svcet_chittoor_sri_venkateswara_college_of_engineering_and_technology.png,Very High (Wikipedia)
CTAE Udaipur - College of Technology and Engineering Maharana Pratap University of Agriculture and Technology,Samastipur,Bihar,210,"College of Technology & Engineering, Udaipur",Q5146854,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/commons/8/8e/College_of_Technology_%26_Engineering%2C_Udaipur.png,logos\ctae_udaipur_college_of_technology_and_engineering_maharana_pratap_university_of_agriculture_and_technology.png,Very High (Wikipedia)
"Dr BC Roy Engineering College, Durgapur",Bardhaman,West Bengal,211,Asansol Engineering College,Q4803542,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/d/d4/Asansol_Engineering_College_Logo.png,logos\dr_bc_roy_engineering_college_durgapur.png,Very High (Wikipedia)
GNIT Kolkata - Guru Nanak Institute of Technology,Delhi,Delhi,216,Guru Nanak Institute of Technology,Q5620408,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/c/c1/GNIT_Kolkata_logo.png,logos\gnit_kolkata_guru_nanak_institute_of_technology.png,Very High (Wikipedia)
HIT Kolkata - Heritage Institute of Technology,Kolkata,West Bengal,217,"Heritage Institute of Technology, Kolkata",Q5738904,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/b/be/Heritage_Institute_of_Kolkata_Logo.png,logos\hit_kolkata_heritage_institute_of_technology.png,Very High (Wikipedia)
IARE Hyderabad - Institute of Aeronautical Engineering,Hyderabad,Telangana,218,,,Manual DDG Override,iare_logo_test.png,logos/iare_logo_test.png,Very High (Manual)
"Maulana Abul Kalam Azad University of Technology, Kolkata",Nadia,West Bengal,229,Maulana Abul Kalam Azad University of Technology,Q3347298,Tier 7: Common Path,https://maulanaazadcollegekolkata.ac.in/images/logo.png,logos\maulana_abul_kalam_azad_university_of_technology_kolkata.png,Medium
NIT Kolkata - Narula Institute of Technology,New Town,West Bengal,230,,,Tier 5: Header Logo,https://nit.ac.in/assets/images/resources/logo.png,logos\nit_kolkata_narula_institute_of_technology.png,Medium
NERIST Nirjuli - North Eastern Regional Institute of Science and Technology,Itanagar,Arunachal Pradesh,232,North Eastern Regional Institute of Science and Technology,Q7055282,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/8/8c/NERIST_LOGO.png,logos\nerist_nirjuli_north_eastern_regional_institute_of_science_and_technology.png,Very High (Wikipedia)
RIT Chennai - Rajalakshmi Institute of Technology,Chennai,Tamil Nadu,239,,,Tier 7: Common Path,https://ritchennai.org/logo.png,logos\rit_chennai_rajalakshmi_institute_of_technology.png,Medium
RGMCET Kurnool - Rajeev Gandhi Memorial College of Engineering and Technology,Nandyal,Andhra Pradesh,240,"International Institute of Information Technology, Hyderabad",Q1666653,Manual DDG Override,rgm_test.jpg,logos/rgm_test.jpg,Very High (Manual)
SVCE Sriperumbudur - Sri Venkateswara College of Engineering,Tirupati,Andhra Pradesh,247,Sri Venkateswara College of Engineering,Q7586320,Tier 5: Header Logo,https://www.svce.ac.in/wp-content/uploads/2021/01/logo.png,logos\svce_sriperumbudur_sri_venkateswara_college_of_engineering.png,Medium
AMET University Kanathur - Academy of Maritime Education and Training,Kancheepuram,Tamil Nadu,252,Academy of Maritime Education and Training,Q4652609,Tier 6: JSON-LD,https://www.ametuniv.ac.in/lovable-uploads/1a294b6d-6a71-456c-a90a-b59eb24fb117.png,logos\amet_university_kanathur_academy_of_maritime_education_and_training.png,Medium
"BIT Sindri, Dhanbad",Gurdaspur,Punjab,256,Dhanbad,Q244159,Tier 3: Favicon HTML,https://www.bitmesra.ac.in/sitelogo/bit-newlogo.png,logos\bit_sindri_dhanbad.png,High
GPREC Kurnool - G Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,261,G. Pulla Reddy,Q5512403,Tier 5: Header Logo,https://www.gprec.ac.in/wp-content/uploads/2019/05/gprec_logo1.png,logos\gprec_kurnool_g_pulla_reddy_engineering_college.png,Medium
GBPEC Delhi - GB Pant Government Engineering College,Delhi,Delhi,262,Govind Ballabh Pant Engineering College,Q3633135,Tier 3: Favicon HTML,https://gbpiet.ac.in/wp-content/uploads/2023/03/logo-final-120x119.png,logos\gbpec_delhi_gb_pant_government_engineering_college.png,High
KLS GIT Belagavi - KLS Gogte Institute of Technology,Belagavi,Karnataka,270,Raosaheb Gogte,Q28749439,Tier 1: Wikipedia Page Image,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wikidata-logo.svg/500px-Wikidata-logo.svg.png,logos\kls_git_belagavi_kls_gogte_institute_of_technology.png,Very High (Wikipedia)
LNMIIT Jaipur - LNM Institute of Information Technology,Jaipur,Rajasthan,274,LNM Institute of Information Technology,Q6459368,Tier 5: Header Logo,https://lnmiit.ac.in/wp-content/uploads/2023/07/cropped-LNMIIT-Logo-Transperant-Background-e1699342125845.png,logos\lnmiit_jaipur_lnm_institute_of_information_technology.png,Medium
LIT Nagpur - Laxminarayan Institute of Technology,Nagpur,Maharashtra,277,Laxminarayan Innovation Technological University,Q6505256,Tier 7: Common Path,https://litu.edu.in/assets/images/logo.png,logos\lit_nagpur_laxminarayan_institute_of_technology.png,Medium
MITS Madanapalle - Madanapalle Institute of Technology and Science,Madanapalle,Andhra Pradesh,279,Madanapalle Institute of Technology and Science,,Tier 3: Favicon HTML,https://madanapalle.cdma.ap.gov.in/assets/logos/ap_state_logo_new.png,logos\mits_madanapalle_madanapalle_institute_of_technology_and_science.png,High
"Prof Ram Meghe Institute of Technology and Research, Badnera",Badnera Amravati,Maharashtra,287,Sant Gadge Baba Amravati University,Q7419088,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/4/42/Sant_Gadge_Baba_Amravati_University_logo.png,logos\prof_ram_meghe_institute_of_technology_and_research_badnera.png,Very High (Wikipedia)
RGPV Bhopal - Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal,Madhya Pradesh,290,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Q10943911,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/c/c4/Rajiv_Gandhi_Proudyogiki_Vishwavidyalaya_logo.png,logos\rgpv_bhopal_rajiv_gandhi_proudyogiki_vishwavidyalaya.png,Very High (Wikipedia)
"TKM College of Engineering, Kollam",KOLLAM,Kerala,298,"College of Engineering, Trivandrum",Q5146700,Tier 3: Favicon HTML,http://www.tkmce.ac.in/images/favicon.png,logos\tkm_college_of_engineering_kollam.png,High
"Vasavi College of Engineering, Hyderabad",Hyderabad,Telangana,299,Vasavi College of Engineering,Q7916402,Tier 5: Header Logo,https://srivasaviengg.ac.in/vasavi_logo.png,logos\vasavi_college_of_engineering_hyderabad.png,Medium
"Chandigarh University, Chandigarh",Mohali,Punjab,32,,,,,,
G. B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,52,,,,,,
"Indian Institute Of Technology (Banaras Hindu University), Varanasi",Varanasi,Uttar Pradesh,14,,,Manual Patch,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/IIT-BHU_Logo.svg/500px-IIT-BHU_Logo.svg.png,logos/Indian_Institute_Of_Technology__Banaras_Hindu_University___Varanasi.png,Very High
Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,81,,,,,,
"Pandit Deendayal Energy University, Gandhinagar",Gandhinagar,Gujarat,106,,,,,,
GNITS Hyderabad - G Narayanamma Institute of Technology and Science For Women,Hyderabad,Telangana,260,,,Manual Patch,https://www.gnits.ac.in/wp-content/uploads/2020/04/gnits-logo.png,logos/GNITS_Hyderabad___G_Narayanamma_Institute_of_Technology_and_Science_For_Women.png,Very High
